ring_id,vertex_id,x,y
0,0,-800,-800
0,1,800,-800
0,2,800,800
0,3,-800,800
1,0,-530.478,-621.735
1,1,-563.144,-645.469
1,2,-603.522,-645.469
1,3,-636.189,-621.735
1,4,-648.667,-583.333
1,5,-636.189,-544.931
1,6,-603.522,-521.198
1,7,-563.144,-521.198
1,8,-530.478,-544.931
1,9,-518,-583.333
2,0,-297.144,-621.735
2,1,-329.811,-645.469
2,2,-370.189,-645.469
2,3,-402.856,-621.735
2,4,-415.333,-583.333
2,5,-402.856,-544.931
2,6,-370.189,-521.198
2,7,-329.811,-521.198
2,8,-297.144,-544.931
2,9,-284.667,-583.333
3,0,-63.8109,-621.735
3,1,-96.4776,-645.469
3,2,-136.856,-645.469
3,3,-169.522,-621.735
3,4,-182,-583.333
3,5,-169.522,-544.931
3,6,-136.856,-521.198
3,7,-96.4776,-521.198
3,8,-63.8109,-544.931
3,9,-51.3333,-583.333
4,0,169.522,-621.735
4,1,136.856,-645.469
4,2,96.4776,-645.469
4,3,63.8109,-621.735
4,4,51.3333,-583.333
4,5,63.8109,-544.931
4,6,96.4776,-521.198
4,7,136.856,-521.198
4,8,169.522,-544.931
4,9,182,-583.333
5,0,402.856,-621.735
5,1,370.189,-645.469
5,2,329.811,-645.469
5,3,297.144,-621.735
5,4,284.667,-583.333
5,5,297.144,-544.931
5,6,329.811,-521.198
5,7,370.189,-521.198
5,8,402.856,-544.931
5,9,415.333,-583.333
6,0,636.189,-621.735
6,1,603.522,-645.469
6,2,563.144,-645.469
6,3,530.478,-621.735
6,4,518,-583.333
6,5,530.478,-544.931
6,6,563.144,-521.198
6,7,603.522,-521.198
6,8,636.189,-544.931
6,9,648.667,-583.333
7,0,-530.478,-388.402
7,1,-563.144,-412.136
7,2,-603.522,-412.136
7,3,-636.189,-388.402
7,4,-648.667,-350
7,5,-636.189,-311.598
7,6,-603.522,-287.864
7,7,-563.144,-287.864
7,8,-530.478,-311.598
7,9,-518,-350
8,0,-297.144,-388.402
8,1,-329.811,-412.136
8,2,-370.189,-412.136
8,3,-402.856,-388.402
8,4,-415.333,-350
8,5,-402.856,-311.598
8,6,-370.189,-287.864
8,7,-329.811,-287.864
8,8,-297.144,-311.598
8,9,-284.667,-350
9,0,-63.8109,-388.402
9,1,-96.4776,-412.136
9,2,-136.856,-412.136
9,3,-169.522,-388.402
9,4,-182,-350
9,5,-169.522,-311.598
9,6,-136.856,-287.864
9,7,-96.4776,-287.864
9,8,-63.8109,-311.598
9,9,-51.3333,-350
10,0,169.522,-388.402
10,1,136.856,-412.136
10,2,96.4776,-412.136
