ring_id,vertex_id,x,y
0,0,500,0
0,1,498.459,39.2295
0,2,493.844,78.2172
0,3,486.185,116.723
0,4,475.528,154.508
0,5,461.94,191.342
0,6,445.503,226.995
0,7,426.32,261.249
0,8,404.508,293.893
0,9,380.203,324.724
0,10,353.553,353.553
0,11,324.724,380.203
0,12,293.893,404.508
0,13,261.249,426.32
0,14,226.995,445.503
0,15,191.342,461.94
0,16,154.508,475.528
0,17,116.723,486.185
0,18,78.2172,493.844
0,19,39.2295,498.459
0,20,3.06162e-14,500
0,21,-39.2295,498.459
0,22,-78.2172,493.844
0,23,-116.723,486.185
0,24,-154.508,475.528
0,25,-191.342,461.94
0,26,-226.995,445.503
0,27,-261.249,426.32
0,28,-293.893,404.508
0,29,-324.724,380.203
0,30,-353.553,353.553
0,31,-380.203,324.724
0,32,-404.508,293.893
0,33,-426.32,261.249
0,34,-445.503,226.995
0,35,-461.94,191.342
0,36,-475.528,154.508
0,37,-486.185,116.723
0,38,-493.844,78.2172
0,39,-498.459,39.2295
0,40,-500,6.12323e-14
0,41,-498.459,-39.2295
0,42,-493.844,-78.2172
0,43,-486.185,-116.723
0,44,-475.528,-154.508
0,45,-461.94,-191.342
0,46,-445.503,-226.995
0,47,-426.32,-261.249
0,48,-404.508,-293.893
0,49,-380.203,-324.724
0,50,-353.553,-353.553
0,51,-324.724,-380.203
0,52,-293.893,-404.508
0,53,-261.249,-426.32
0,54,-226.995,-445.503
0,55,-191.342,-461.94
0,56,-154.508,-475.528
0,57,-116.723,-486.185
0,58,-78.2172,-493.844
0,59,-39.2295,-498.459
0,60,-9.18485e-14,-500
0,61,39.2295,-498.459
0,62,78.2172,-493.844
0,63,116.723,-486.185
0,64,154.508,-475.528
0,65,191.342,-461.94
0,66,226.995,-445.503
0,67,261.249,-426.32
0,68,293.893,-404.508
0,69,324.724,-380.203
0,70,353.553,-353.553
0,71,380.203,-324.724
0,72,404.508,-293.893
0,73,426.32,-261.249
0,74,445.503,-226.995
0,75,461.94,-191.342
0,76,475.528,-154.508
0,77,486.185,-116.723
0,78,493.844,-78.2172
0,79,498.459,-39.2295
1,0,478.52,-37.6604
1,1,474.09,-75.0885
1,2,466.738,-112.054
1,3,456.507,-148.328
1,4,443.462,-183.688
1,5,427.683,-217.915
1,6,409.267,-250.799
1,7,388.328,-282.137
1,8,364.995,-311.735
1,9,339.411,-339.411
1,10,311.735,-364.995
1,11,282.137,-388.328
1,12,250.799,-409.267
1,13,217.915,-427.683
1,14,183.688,-443.462
1,15,148.328,-456.507
1,16,112.054,-466.738
1,17,75.0885,-474.09
1,18,37.6604,-478.52
1,19,-8.81746e-14,-480
1,20,-37.6604,-478.52
1,21,-75.0885,-474.09
1,22,-112.054,-466.738
1,23,-148.328,-456.507
1,24,-183.688,-443.462
1,25,-217.915,-427.683
1,26,-250.799,-409.267
1,27,-282.137,-388.328
1,28,-311.735,-364.995
1,29,-339.411,-339.411
1,30,-364.995,-311.735
1,31,-388.328,-282.137
1,32,-409.267,-250.799
1,33,-427.683,-217.915
1,34,-443.462,-183.688
1,35,-456.507,-148.328
1,36,-466.738,-112.054
1,37,-474.09,-75.0885
1,38,-478.52,-37.6604
1,39,-480,5.8783e-14
1,40,-478.52,37.6604
1,41,-474.09,75.0885
1,42,-466.738,112.054
1,43,-456.507,148.328
1,44,-443.462,183.688
1,45,-427.683,217.915
1,46,-409.267,250.799
1,47,-388.328,282.137
1,48,-364.995,311.735
1,49,-339.411,339.411
1,50,-311.735,364.995
1,51,-282.137,388.328
1,52,-250.799,409.267
1,53,-217.915,427.683
1,54,-183.688,443.462
1,55,-148.328,456.507
1,56,-112.054,466.738
1,57,-75.0885,474.09
1,58,-37.6604,478.52
1,59,2.93915e-14,480
1,60,37.6604,478.52
1,61,75.0885,474.09
1,62,112.054,466.738
1,63,148.328,456.507
1,64,183.688,443.462
1,65,217.915,427.683
1,66,250.799,409.267
1,67,282.137,388.328
1,68,311.735,364.995
1,69,339.411,339.411
1,70,364.995,311.735
1,71,388.328,282.137
1,72,409.267,250.799
1,73,427.683,217.915
1,74,443.462,183.688
1,75,456.507,148.328
1,76,466.738,112.054
1,77,474.09,75.0885
1,78,478.52,37.6604
1,79,480,0
