ring_id,vertex_id,x,y
0,0,700,0
0,1,499.961,6.28302
0,2,499.842,12.565
0,3,499.645,18.8451
0,4,499.368,25.1222
0,5,499.013,31.3953
0,6,498.579,37.6634
0,7,498.067,43.9256
0,8,497.476,50.1809
0,9,496.806,56.4282
0,10,694.48,87.7333
0,11,495.231,68.8951
0,12,494.326,75.1128
0,13,493.343,81.3186
0,14,492.282,87.5115
0,15,491.144,93.6907
0,16,489.928,99.855
0,17,488.634,106.004
0,18,487.263,112.135
0,19,485.816,118.249
0,20,678.008,174.083
0,21,482.691,130.421
0,22,481.014,136.476
0,23,479.261,142.51
0,24,477.432,148.521
0,25,475.528,154.508
0,26,473.549,160.472
0,27,471.495,166.41
0,28,469.367,172.321
0,29,467.164,178.206
0,30,650.844,257.687
0,31,462.539,189.89
0,32,460.116,195.687
0,33,457.621,201.453
0,34,455.053,207.188
0,35,452.414,212.89
0,36,449.703,218.558
0,37,446.921,224.192
0,38,444.068,229.79
0,39,441.146,235.352
0,40,613.415,337.228
0,41,435.092,246.364
0,42,431.962,251.812
0,43,428.763,257.22
0,44,425.497,262.587
0,45,422.164,267.913
0,46,418.764,273.197
0,47,415.298,278.438
0,48,411.766,283.634
0,49,408.17,288.786
0,50,566.312,411.45
0,51,400.783,298.952
0,52,396.995,303.965
0,53,393.144,308.93
0,54,389.231,313.846
0,55,385.257,318.712
0,56,381.221,323.528
0,57,377.126,328.293
0,58,372.971,333.006
0,59,368.757,337.666
0,60,510.278,479.183
0,61,360.155,346.827
0,62,355.768,351.325
0,63,351.325,355.768
0,64,346.827,360.155
0,65,342.274,364.484
0,66,337.666,368.757
0,67,333.006,372.971
0,68,328.293,377.126
0,69,323.528,381.221
0,70,446.197,539.359
0,71,313.846,389.231
0,72,308.93,393.144
0,73,303.965,396.995
0,74,298.952,400.783
0,75,293.893,404.508
0,76,288.786,408.17
0,77,283.634,411.766
0,78,278.438,415.298
0,79,273.197,418.764
0,80,375.079,591.03
0,81,262.587,425.497
0,82,257.22,428.763
0,83,251.812,431.962
0,84,246.364,435.092
0,85,240.877,438.153
0,86,235.352,441.146
0,87,229.79,444.068
0,88,224.192,446.921
0,89,218.558,449.703
0,90,298.046,633.379
0,91,207.188,455.053
0,92,201.453,457.621
0,93,195.687,460.116
0,94,189.89,462.539
0,95,184.062,464.888
0,96,178.206,467.164
0,97,172.321,469.367
0,98,166.41,471.495
0,99,160.472,473.549
0,100,216.312,665.74
0,101,148.521,477.432
0,102,142.51,479.261
0,103,136.476,481.014
0,104,130.421,482.691
0,105,124.345,484.292
0,106,118.249,485.816
0,107,112.135,487.263
0,108,106.004,488.634
0,109,99.855,489.928
0,110,131.167,687.601
0,111,87.5115,492.282
0,112,81.3186,493.343
0,113,75.1128,494.326
0,114,68.8951,495.231
0,115,62.6666,496.057
0,116,56.4282,496.806
0,117,50.1809,497.476
0,118,43.9256,498.067
0,119,37.6634,498.579
0,120,43.9534,698.619
0,121,25.1222,499.368
0,122,18.8451,499.645
0,123,12.565,499.842
0,124,6.28302,499.961
0,125,3.06162e-14,500
0,126,-6.28302,499.961
0,127,-12.565,499.842
0,128,-18.8451,499.645
0,129,-25.1222,499.368
0,130,-43.9534,698.619
0,131,-37.6634,498.579
0,132,-43.9256,498.067
0,133,-50.1809,497.476
0,134,-56.4282,496.806
0,135,-62.6666,496.057
0,136,-68.8951,495.231
0,137,-75.1128,494.326
0,138,-81.3186,493.343
0,139,-87.5115,492.282
0,140,-131.167,687.601
0,141,-99.855,489.928
0,142,-106.004,488.634
0,143,-112.135,487.263
0,144,-118.249,485.816
0,145,-124.345,484.292
0,146,-130.421,482.691
0,147,-136.476,481.014
0,148,-142.51,479.261
0,149,-148.521,477.432
0,150,-216.312,665.74
0,151,-160.472,473.549
0,152,-166.41,471.495
0,153,-172.321,469.367
0,154,-178.206,467.164
0,155,-184.062,464.888
0,156,-189.89,462.539
0,157,-195.687,460.116
0,158,-201.453,457.621
0,159,-207.188,455.053
0,160,-298.046,633.379
0,161,-218.558,449.703
0,162,-224.192,446.921
0,163,-229.79,444.068
0,164,-235.352,441.146
0,165,-240.877,438.153
0,166,-246.364,435.092
0,167,-251.812,431.962
0,168,-257.22,428.763
0,169,-262.587,425.497
0,170,-375.079,591.03
0,171,-273.197,418.764
0,172,-278.438,415.298
0,173,-283.634,411.766
0,174,-288.786,408.17
0,175,-293.893,404.508
0,176,-298.952,400.783
0,177,-303.965,396.995
0,178,-308.93,393.144
0,179,-313.846,389.231
0,180,-446.197,539.359
0,181,-323.528,381.221
0,182,-328.293,377.126
0,183,-333.006,372.971
0,184,-337.666,368.757
0,185,-342.274,364.484
0,186,-346.827,360.155
0,187,-351.325,355.768
0,188,-355.768,351.325
0,189,-360.155,346.827
0,190,-510.278,479.183
0,191,-368.757,337.666
0,192,-372.971,333.006
0,193,-377.126,328.293
0,194,-381.221,323.528
0,195,-385.257,318.712
0,196,-389.231,313.846
0,197,-393.144,308.93
0,198,-396.995,303.965
0,199,-400.783,298.952
0,200,-566.312,411.45
0,201,-408.17,288.786
0,202,-411.766,283.634
0,203,-415.298,278.438
0,204,-418.764,273.197
0,205,-422.164,267.913
0,206,-425.497,262.587
0,207,-428.763,257.22
0,208,-431.962,251.812
0,209,-435.092,246.364
0,210,-613.415,337.228
0,211,-441.146,235.352
0,212,-444.068,229.79
0,213,-446.921,224.192
0,214,-449.703,218.558
0,215,-452.414,212.89
0,216,-455.053,207.188
0,217,-457.621,201.453
0,218,-460.116,195.687
0,219,-462.539,189.89
0,220,-650.844,257.687
0,221,-467.164,178.206
0,222,-469.367,172.321
0,223,-471.495,166.41
0,224,-473.549,160.472
0,225,-475.528,154.508
0,226,-477.432,148.521
0,227,-479.261,142.51
0,228,-481.014,136.476
0,229,-482.691,130.421
0,230,-678.008,174.083
0,231,-485.816,118.249
0,232,-487.263,112.135
0,233,-488.634,106.004
0,234,-489.928,99.855
